POA,V,I,P,Energy
301,602,1,54,27
301,602,1,54,27
549,590,2,170,85
549,590,2,170,85
769,695,4,316,158
769,695,4,316,158
939,681,4,277,139
939,681,4,277,139
1047,694,3,214,107
1047,694,3,214,107
1082,680,3,251,125
1082,680,3,251,125
1040,586,3,219,109
1040,586,3,219,109
924,677,3,240,120
924,677,3,240,120
722,690,3,248,124
722,690,3,248,124
302,655,3,176,88
302,655,3,176,88
72,607,5,456,228
72,607,5,456,228
22,615,3,284,142
22,615,3,284,142
0,572,1,47,24
0,572,1,47,24
109,570,0,19,10
109,570,0,19,10
203,633,1,150,75
203,633,1,150,75
467,642,2,235,117
467,642,2,235,117
560,647,6,595,298
560,647,6,595,298
594,627,6,628,314
594,627,6,628,314
855,669,5,378,189
855,669,5,378,189
791,684,5,358,179
791,684,5,358,179
654,633,6,366,183
654,633,6,366,183
81,620,5,491,245
81,620,5,491,245
20,596,1,79,40
20,596,1,79,40
228,587,0,33,17
228,587,0,33,17
529,638,2,189,94
529,638,2,189,94
732,597,6,574,287
732,597,6,574,287
564,601,5,461,231
564,601,5,461,231
454,646,8,519,259
454,646,8,519,259
366,620,5,522,261
366,620,5,522,261
382,624,6,552,276
382,624,6,552,276
370,618,2,161,80
370,618,2,161,80
152,608,1,128,64
152,608,1,128,64
101,611,1,139,69
101,611,1,139,69
28,632,3,265,133
28,632,3,265,133
0,647,4,394,197
0,647,4,394,197
102,586,0,34,17
102,586,0,34,17
292,636,1,151,75
292,636,1,151,75
430,639,2,198,99
430,639,2,198,99
473,676,2,93,46
473,676,2,93,46
847,693,3,172,86
847,693,3,172,86
1011,689,3,211,106
1011,689,3,211,106
899,694,4,218,109
899,694,4,218,109
718,667,4,312,156
718,667,4,312,156
482,691,3,185,92
482,691,3,185,92
192,645,3,162,81
192,645,3,162,81
30,655,3,140,70
30,655,3,140,70
0,597,1,51,26
0,597,1,51,26
137,588,0,32,16
137,588,0,32,16
219,648,2,246,123
219,648,2,246,123
388,632,3,291,146
388,632,3,291,146
513,645,4,458,229
513,645,4,458,229
803,666,3,179,90
803,666,3,179,90
636,613,3,338,169
636,613,3,338,169
496,691,3,182,91
496,691,3,182,91
242,602,3,298,149
242,602,3,298,149
328,659,4,472,236
